Forecast_Date,Forecast Validity,STATE_ID,STATE_NAME,DIST_ID,DIST_NAME,BLOCK_ID,BLOCK_NAME,RF,MAX,MIN,CLOUD,MAX_RH,MIN_RH,WINDSPEED,WIND DIRECTION
17-11-2021,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7145,ULLUNDA,47,27,19,8,92,61,11,254
18-11-2021,Valid From 08:30 AM OF 2021-11-17 TO 08:30AM OF 2021-11-18,21,Odisha,392,SONEPUR,7145,ULLUNDA,31,28,19,7,93,73,12,247
19-11-2021,Valid From 08:30 AM OF 2021-11-18 TO 08:30AM OF 2021-11-19,21,Odisha,392,SONEPUR,7145,ULLUNDA,3,30,20,6,93,68,9,246
20-11-2021,Valid From 08:30 AM OF 2021-11-19 TO 08:30AM OF 2021-11-20,21,Odisha,392,SONEPUR,7145,ULLUNDA,1,32,22,5,95,67,9,248
21-11-2021,Valid From 08:30 AM OF 2021-11-20 TO 08:30AM OF 2021-11-21,21,Odisha,392,SONEPUR,7145,ULLUNDA,7,33,22,6,91,66,8,241
17-11-2021,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7144,TARBHA,39,28,22,7,93,65,12,240
18-11-2021,Valid From 08:30 AM OF 2021-11-17 TO 08:30AM OF 2021-11-18,21,Odisha,392,SONEPUR,7144,TARBHA,39,27,21,8,93,72,13,246
19-11-2021,Valid From 08:30 AM OF 2021-11-18 TO 08:30AM OF 2021-11-19,21,Odisha,392,SONEPUR,7144,TARBHA,4,31,23,6,93,65,10,245
20-11-2021,Valid From 08:30 AM OF 2021-11-19 TO 08:30AM OF 2021-11-20,21,Odisha,392,SONEPUR,7144,TARBHA,2,33,24,5,93,63,10,250
21-11-2021,Valid From 08:30 AM OF 2021-11-20 TO 08:30AM OF 2021-11-21,21,Odisha,392,SONEPUR,7144,TARBHA,7,33,22,6,91,62,9,237
17-11-2021,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7143,SONEPUR,47,27,21,8,91,59,11,252
18-11-2021,Valid From 08:30 AM OF 2021-11-17 TO 08:30AM OF 2021-11-18,21,Odisha,392,SONEPUR,7143,SONEPUR,47,27,20,8,94,77,14,244
19-11-2021,Valid From 08:30 AM OF 2021-11-18 TO 08:30AM OF 2021-11-19,21,Odisha,392,SONEPUR,7143,SONEPUR,3,32,22,6,94,67,10,238
20-11-2021,Valid From 08:30 AM OF 2021-11-19 TO 08:30AM OF 2021-11-20,21,Odisha,392,SONEPUR,7143,SONEPUR,2,33,23,5,94,67,10,248
21-11-2021,Valid From 08:30 AM OF 2021-11-20 TO 08:30AM OF 2021-11-21,21,Odisha,392,SONEPUR,7143,SONEPUR,6,33,23,6,91,65,9,216
17-11-2021,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7142,DUNGURIPALI,37,28,22,7,92,63,12,258
18-11-2021,Valid From 08:30 AM OF 2021-11-17 TO 08:30AM OF 2021-11-18,21,Odisha,392,SONEPUR,7142,DUNGURIPALI,40,27,22,8,93,74,13,246
19-11-2021,Valid From 08:30 AM OF 2021-11-18 TO 08:30AM OF 2021-11-19,21,Odisha,392,SONEPUR,7142,DUNGURIPALI,3,31,23,6,93,66,10,245
20-11-2021,Valid From 08:30 AM OF 2021-11-19 TO 08:30AM OF 2021-11-20,21,Odisha,392,SONEPUR,7142,DUNGURIPALI,2,33,24,5,93,65,11,250
21-11-2021,Valid From 08:30 AM OF 2021-11-20 TO 08:30AM OF 2021-11-21,21,Odisha,392,SONEPUR,7142,DUNGURIPALI,7,33,23,6,91,64,9,238
17-11-2021,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7141,BIRMAHARAJPUR,46,27,20,8,92,61,11,253
18-11-2021,Valid From 08:30 AM OF 2021-11-17 TO 08:30AM OF 2021-11-18,21,Odisha,392,SONEPUR,7141,BIRMAHARAJPUR,39,27,20,8,94,74,13,245
19-11-2021,Valid From 08:30 AM OF 2021-11-18 TO 08:30AM OF 2021-11-19,21,Odisha,392,SONEPUR,7141,BIRMAHARAJPUR,3,31,21,6,94,67,10,243
20-11-2021,Valid From 08:30 AM OF 2021-11-19 TO 08:30AM OF 2021-11-20,21,Odisha,392,SONEPUR,7141,BIRMAHARAJPUR,2,33,23,5,94,67,10,248
21-11-2021,Valid From 08:30 AM OF 2021-11-20 TO 08:30AM OF 2021-11-21,21,Odisha,392,SONEPUR,7141,BIRMAHARAJPUR,7,33,23,6,91,66,8,231
17-11-2021,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7140,BINIKA,44,27,21,8,91,61,11,254
18-11-2021,Valid From 08:30 AM OF 2021-11-17 TO 08:30AM OF 2021-11-18,21,Odisha,392,SONEPUR,7140,BINIKA,44,27,21,8,94,75,13,245
19-11-2021,Valid From 08:30 AM OF 2021-11-18 TO 08:30AM OF 2021-11-19,21,Odisha,392,SONEPUR,7140,BINIKA,3,31,22,6,94,67,10,241
20-11-2021,Valid From 08:30 AM OF 2021-11-19 TO 08:30AM OF 2021-11-20,21,Odisha,392,SONEPUR,7140,BINIKA,2,33,23,5,94,66,10,249
21-11-2021,Valid From 08:30 AM OF 2021-11-20 TO 08:30AM OF 2021-11-21,21,Odisha,392,SONEPUR,7140,BINIKA,6,33,23,6,91,65,9,224
17-11-2021,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,374,SUNADAGARH,4016,TANGARPALI,32,31,24,7,90,57,9,285
18-11-2021,Valid From 08:30 AM OF 2021-11-17 TO 08:30AM OF 2021-11-18,21,Odisha,374,SUNADAGARH,4016,TANGARPALI,48,28,23,8,94,63,12,240
19-11-2021,Valid From 08:30 AM OF 2021-11-18 TO 08:30AM OF 2021-11-19,21,Odisha,374,SUNADAGARH,4016,TANGARPALI,5,31,24,6,93,71,10,224
20-11-2021,Valid From 08:30 AM OF 2021-11-19 TO 08:30AM OF 2021-11-20,21,Odisha,374,SUNADAGARH,4016,TANGARPALI,3,33,25,5,94,66,9,242
21-11-2021,Valid From 08:30 AM OF 2021-11-20 TO 08:30AM OF 2021-11-21,21,Odisha,374,SUNADAGARH,4016,TANGARPALI,7,34,25,5,90,67,7,206
17-11-2021,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,374,SUNADAGARH,4015,SUNDARGARH,52,29,23,7,91,59,7,285
18-11-2021,Valid From 08:30 AM OF 2021-11-17 TO 08:30AM OF 2021-11-18,21,Odisha,374,SUNADAGARH,4015,SUNDARGARH,77,28,23,8,95,68,11,206
