SlNo,DIST_NAME,DIST_ID,block_name,BLK_NAME01,id,T_max1,T_max2,T_max3,T_max4,T_max5,T_Min1,T_Min2,T_Min3,T_Min4,T_Min5
43,BALANGIR,5,Agalpur (Duduka),Agalpur (Duduka),43,42,42,43,43,43,26,25,26,27,29
21,BARAGARH,3,Ambabhona,Ambabhona,21,42,42,43,44,43,26,25,26,27,29
175,KEONJHAR,18,Anandapur,Anandapur,175,39,39,39,40,40,26,25,26,27,29
1,ANGUL,1,Angul,Angul,1,40,41,43,43,43,26,25,26,27,29
107,GANJAM,11,Aska,Aska,107,38,38,39,39,39,26,25,26,27,29
261,PURI,26,Astaranga,Astaranga,261,38,38,39,39,39,26,25,26,27,29
6,ANGUL,1,Athmallik,Athmallik,6,41,42,42,43,43,26,25,26,27,29
22,BARAGARH,3,Attabira,Attabira,22,43,43,44,44,44,26,25,26,27,29
165,KENDRAPARA,17,Aul (Ali),Aul (Ali),165,39,38,39,40,39,26,25,26,27,29
127,JAJPUR,13,Badachana,Badachana,127,39,39,39,40,40,26,25,26,27,29
231,MAYURBHANJ,22,Bahalda,Bahalda,231,39,39,40,41,40,26,25,26,27,29
40,BALANGIR,5,Balangir,Balangir,40,43,43,43,44,44,26,25,26,27,29
13,BALESWAR,2,Baleswar,Baleswar,13,38,38,39,39,39,26,25,26,27,29
12,BALESWAR,2,Baliapal,Baliapal,12,39,38,39,39,39,26,25,26,27,29
147,KANDHAMAL,16,Baliguda,Baliguda,147,42,42,42,43,42,26,25,26,27,29
114,JAGATSINGHPUR,12,Balikuda,Balikuda,114,38,39,39,40,40,26,25,26,27,29
304,SUNDARGARH,30,Balisankara,Balisankara,304,41,42,43,44,43,26,25,26,27,29
289,SAMBALPUR,28,Bamra,Bamra,289,42,42,43,44,43,26,25,26,27,29
2,ANGUL,1,Banarpal,Banarpal,2,40,41,43,43,43,26,25,26,27,29
194,KORAPUT,20,Bandhugaon,Bandhugaon,194,38,38,39,39,38,26,25,26,27,29
311,SUNDARGARH,30,Banei,Banei,311,40,41,42,43,43,26,25,26,27,29
220,MAYURBHANJ,22,Bangiriposhi,Bangiriposhi,220,39,39,39,40,40,26,25,26,27,29
51,BALANGIR,5,Bangomunda,Bangomunda,51,43,43,43,44,43,26,25,26,27,29
58,CUTTACK,7,Banki-Dampara,Banki-Dampara,58,39,38,39,40,39,26,25,26,27,29
36,BHADRAK,4,Bonth,Bonth,36,40,39,40,40,39,26,25,26,27,29
303,SUNDARGARH,30,Baragaon,Baragaon,303,42,42,43,44,43,26,25,26,27,29
23,BARAGARH,3,Baragarh,Baragarh,23,42,43,43,44,44,26,25,26,27,29
59,CUTTACK,7,Barang,Barang,59,38,38,39,40,39,26,25,26,27,29
24,BARAGARH,3,Barapali,Barapali,24,42,43,43,44,44,26,25,26,27,29
128,JAJPUR,13,Bari,Bari,128,39,39,39,40,40,26,25,26,27,29
70,DEOGARH,8,Barkot,Barkot,70,40,41,42,43,43,26,25,26,27,29
213,MAYURBHANJ,22,Barsahi,Barsahi,213,39,38,39,40,40,26,25,26,27,29
10,BALESWAR,2,Basta,Basta,10,39,38,39,39,39,26,25,26,27,29
35,BHADRAK,4,Basudebpur,Basudebpur,35,39,39,39,40,39,26,25,26,27,29
104,GANJAM,11,Bellaguntha,Bellaguntha,104,39,39,39,40,39,26,25,26,27,29
47,BALANGIR,5,Belpara,Belpara,47,42,42,43,43,43,26,25,26,27,29
214,MAYURBHANJ,22,Betanati,Betanati,214,39,38,39,40,40,26,25,26,27,29
33,BHADRAK,4,Bhadrak,Bhadrak,33,40,39,40,40,39,26,25,26,27,29
34,BHADRAK,4,Bhandaripokhari,Bhandaripokhari,34,40,39,40,40,39,26,25,26,27,29
103,GANJAM,11,Bhanjanagar,Bhanjanagar,103,40,40,40,41,41,26,25,26,27,29
248,NAYAGARH,24,Bhapur,Bhapur,248,39,39,39,40,40,26,25,26,27,29
25,BARAGARH,3,Bhatli,Bhatli,25,42,43,43,44,44,26,25,26,27,29
134,KALAHANDI,15,Bhawanipatna,Bhawanipatna,134,43,43,44,44,43,26,25,26,27,29
26,BARAGARH,3,Bheden,Bheden,26,42,43,43,44,44,26,25,26,27,29
9,BALESWAR,2,Bhograi,Bhograi,9,39,38,39,39,39,26,25,26,27,29
78,DHENKANAL,9,Bhuban,Bhuban,78,39,39,39,40,40,26,25,26,27,29
227,MAYURBHANJ,22,Bijatola,Bijatola,227,39,39,40,40,40,26,25,26,27,29
27,BARAGARH,3,Bijepur,Bijepur,27,42,43,43,44,43,26,25,26,27,29
120,JAJPUR,13,Binjharpur,Binjharpur,120,39,38,39,40,39,26,25,26,27,29
112,JAGATSINGHPUR,12,Biridi,Biridi,112,38,39,39,40,40,26,25,26,27,29
226,MAYURBHANJ,22,Bisoi,Bisoi,226,39,39,39,40,40,26,25,26,27,29
