Forecast_Date,Forecast Validity,STATE_ID,STATE_NAME,DIST_ID,DIST_NAME,BLOCK_ID,BLOCK_NAME,RF,MAX,MIN,CLOUD,MAX_RH,MIN_RH,WINDSPEED,WIND DIRECTION
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7145,ULLUNDA,47,27,19,8,92,61,11,254
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7144,TARBHA,39,28,22,7,93,65,12,240
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7143,SONEPUR,47,27,21,8,91,59,11,252
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7142,DUNGURIPALI,37,28,22,7,92,63,12,258
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7141,BIRMAHARAJPUR,46,27,20,8,92,61,11,253
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,392,SONEPUR,7140,BINIKA,44,27,21,8,91,61,11,254
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,374,SUNADAGARH,4016,TANGARPALI,32,31,24,7,90,57,9,285
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,374,SUNADAGARH,4015,SUNDARGARH,52,29,23,7,91,59,7,285
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,374,SUNADAGARH,4014,SUBDEGA,45,29,23,7,92,61,8,275
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,374,SUNADAGARH,4013,RAJGANGPUR,38,29,23,7,93,64,9,257
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,374,SUNADAGARH,4012,NUAGAON,38,29,23,7,93,65,9,253
28-11-2022,Valid From 08:30 AM OF 2021-11-16 TO 08:30AM OF 2021-11-17,21,Odisha,374,SUNADAGARH,4011,LEPHRIPARA,42,29,23,7,91,61,8,274
